MESOZONE,orig_total,adj_total,abs_diff
250056506001,173.0,672.0,499.0
250056506002,81.0,358.0,277.0
250056506003,56.0,246.0,190.0
250056507001,79.0,422.0,343.0
250056507002,269.0,562.0,293.0
250056508001,44.0,298.0,254.0
250056508002,43.0,261.0,218.0
250056508003,1087.0,1425.0,338.0
250056508004,49.0,149.0,100.0
250056509001,413.0,710.0,297.0
250056509002,39.0,379.0,340.0
250056509003,455.0,680.0,225.0
250056510011,476.0,1044.0,568.0
250056510021,1326.0,2100.0,774.0
250056510022,200.0,1304.0,1104.0
250056511001,139.0,210.0,71.0
250056511002,58.0,97.0,39.0
250056511003,33.0,103.0,70.0
250056511004,36.0,79.0,43.0
250056512001,542.0,635.0,93.0
250056512002,833.0,1516.0,683.0
250056513001,1798.0,2489.0,691.0
250056513002,646.0,726.0,80.0
250056514001,403.0,464.0,61.0
250056514002,24.0,115.0,91.0
250056514003,33.0,124.0,91.0
250056514004,46.0,119.0,73.0
250056515001,30.0,136.0,106.0
250056515002,9.0,80.0,71.0
250056515003,83.0,481.0,398.0
250056515004,65.0,356.0,291.0
250056516001,33.0,179.0,146.0
250056516002,50.0,182.0,132.0
250056516003,18.0,151.0,133.0
250056516004,149.0,404.0,255.0
250056517001,209.0,792.0,583.0
250056517002,1821.0,1536.0,-285.0
250056518001,3616.0,6647.0,3031.0
250056518002,1084.0,3296.0,2212.0
250056519001,1645.0,2243.0,598.0
250056519002,51.0,369.0,318.0
250056520001,601.0,753.0,152.0
250056520002,60.0,325.0,265.0
250056520003,36.0,274.0,238.0
250056521001,64.0,256.0,192.0
250056521002,61.0,2173.0,2112.0
250056521003,75.0,197.0,122.0
250056522001,213.0,1067.0,854.0
250056522002,2203.0,1264.0,-939.0
250056522003,51.0,1406.0,1355.0
250056523001,26.0,178.0,152.0
250056523002,436.0,630.0,194.0
250056523003,193.0,1130.0,937.0
250056524001,975.0,412.0,-563.0
250056524002,868.0,1144.0,276.0
250056525001,63.0,96.0,33.0
250056525002,52.0,96.0,44.0
250056526001,105.0,293.0,188.0
250056526002,327.0,945.0,618.0
250056527001,20.0,119.0,99.0
250056527002,147.0,380.0,233.0
250056527003,12.0,351.0,339.0
250056527004,236.0,504.0,268.0
250056528001,104.0,577.0,473.0
250056528002,15.0,220.0,205.0
250056528003,259.0,769.0,510.0
250056531011,1608.0,5584.0,3976.0
250056531012,761.0,1385.0,624.0
250056531013,1595.0,4222.0,2627.0
250056531014,2705.0,3874.0,1169.0
250056531021,431.0,1359.0,928.0
250056531022,4628.0,4565.0,-63.0
250056532031,648.0,687.0,39.0
250056532032,167.0,531.0,364.0
250056532033,416.0,522.0,106.0
250056532034,792.0,709.0,-83.0
250056532041,1340.0,1881.0,541.0
250056533011,91.0,772.0,681.0
250056533012,283.0,401.0,118.0
250056533013,233.0,445.0,212.0
