Commodity_SCTG,ORIG_CFS_AREA,UnitCost
11,11-47900,1.110422817
12,11-47900,0.606974818
13,11-47900,44.48197782
19,11-47900,138536.862
20,11-47900,4512.203405
21,11-47900,30829.75238
23,11-47900,624.3852248
24,11-47900,1869.664267
26,11-47900,568.0808328
27,11-47900,2261.26454
28,11-47900,1636.373713
29,11-47900,11860.60182
30,11-47900,10059.47379
31,11-47900,65.10415862
32,11-47900,511.8401526
33,11-47900,2109.488293
34,11-47900,8065.393827
35,11-47900,1382.446908
36,11-47900,5642.648442
37,11-47900,68184.18368
38,11-47900,23912.2128
39,11-47900,6544.367042
40,11-47900,7333.130996
41,11-47900,21.11765217
43,11-47900,3925.937845
1,12-300,4732.070253
2,12-300,155.791617
3,12-300,545.8046374
4,12-300,1671.567504
5,12-300,9680.488928
6,12-300,6455.685458
7,12-300,1161.848606
8,12-300,1550.666202
9,12-300,37825.20234
10,12-300,31.73368066
11,12-300,26.42156119
12,12-300,27.60082891
13,12-300,120.5696446
14,12-300,541.4239485
17,12-300,543.1663576
18,12-300,525.9829456
19,12-300,443.7719056
20,12-300,1581.352207
21,12-300,22870.76495
22,12-300,260.8770399
23,12-300,3163.778517
24,12-300,6131.471975
25,12-300,12.82553358
26,12-300,288.007896
27,12-300,654.8683834
28,12-300,2322.900583
29,12-300,4067.981324
30,12-300,23720.67247
31,12-300,179.137517
32,12-300,2173.35652
33,12-300,1910.168097
34,12-300,20158.23352
35,12-300,17036.0816
36,12-300,15426.40228
37,12-300,226998.3437
38,12-300,167301.5629
39,12-300,6910.131955
40,12-300,5557.201964
41,12-300,45.00737518
43,12-300,2408.124372
1,12-370,1920.403693
2,12-370,306.4893372
3,12-370,275.1551389
4,12-370,810.1305006
5,12-370,6864.618
6,12-370,1721.649217
7,12-370,885.8302932
8,12-370,2080.573728
9,12-370,37595.3932
10,12-370,563.7080212
11,12-370,184.410283
12,12-370,14.06404003
13,12-370,225.9747618
14,12-370,59013.6058
