"","NAICS","size_group","total_emp","total_est","total_firm","emp_per_est","est_per_firm"
"1793",517210,1,2730,831,600,3.28519855595668,1.385
"1794",517410,1,1252,323,321,3.87616099071207,1.00623052959502
"1795",517410,2,1588,54,38,29.4074074074074,1.42105263157895
"1796",517410,7,600,7,5,85.7142857142857,1.4
"1797",517911,1,5221,1616,1608,3.23081683168317,1.00497512437811
"1798",517911,6,285,4,4,71.25,1
"1799",517911,7,567,7,5,81,1.4
"1800",517919,1,11095,4064,4058,2.7300688976378,1.00147856086742
"1801",517919,2,7396,215,198,34.4,1.08585858585859
"1802",517919,3,6499,55,41,118.163636363636,1.34146341463415
"1803",517919,4,1350,8,7,168.75,1.14285714285714
"1804",518210,1,29199,7158,7102,4.07921207041073,1.00788510278795
"1805",518210,2,58057,1631,1412,35.5959534028204,1.15509915014164
"1806",519110,1,707,171,164,4.13450292397661,1.04268292682927
"1807",519120,1,8949,1634,1616,5.47674418604651,1.01113861386139
"1808",519130,1,18017,5660,5648,3.18321554770318,1.00212464589235
"1809",519130,2,20119,538,493,37.3959107806691,1.09127789046653
"1810",519190,1,3288,1405,1405,2.34021352313167,1
"1811",519190,2,2359,80,63,29.4875,1.26984126984127
"1812",519190,3,576,5,5,115.2,1
"1813",522110,1,12307,1445,1096,8.51695501730104,1.31843065693431
"1814",522120,1,1716,217,167,7.90783410138249,1.29940119760479
"1815",522130,1,21883,3972,3489,5.50931520644512,1.1384350816853
"1816",522190,1,5,9,9,0.555555555555556,1
"1817",522210,1,334,167,167,2,1
"1818",522220,1,7190,2020,1996,3.55940594059406,1.01202404809619
"1819",522220,2,7110,295,213,24.1016949152542,1.3849765258216
"1820",522291,1,9907,3088,2766,3.20822538860104,1.11641359363702
"1821",522292,1,7643,2332,2256,3.27744425385935,1.03368794326241
"1822",522293,1,546,229,228,2.38427947598253,1.00438596491228
"1823",522294,1,373,160,160,2.33125,1
"1824",522294,2,471,10,7,47.1,1.42857142857143
"1825",522298,1,19716,5282,5054,3.73267701628171,1.04511278195489
"1826",522310,1,16055,6392,6335,2.51173341677096,1.00899763220205
"1827",522310,2,7076,245,206,28.8816326530612,1.18932038834951
"1828",522320,1,7813,2547,2518,3.06753042795446,1.01151707704527
"1829",522320,2,9487,260,234,36.4884615384615,1.11111111111111
"1830",522390,1,11963,3971,3358,3.01259128682951,1.18254913639071
"1831",523110,1,6400,2131,2084,3.00328484279681,1.02255278310941
"1832",523120,1,20902,7699,7619,2.71489803870633,1.01050006562541
"1833",523120,2,9795,438,294,22.3630136986301,1.48979591836735
"1834",523130,1,1608,549,545,2.92896174863388,1.00733944954128
"1835",523130,5,332,5,4,66.4,1.25
"1836",523140,1,2730,942,919,2.89808917197452,1.02502720348205
"1837",523140,2,1559,66,47,23.6212121212121,1.40425531914894
"1838",523210,1,5,3,3,1.66666666666667,1
"1839",523910,1,16620,6534,6481,2.54361799816345,1.00817775034717
"1840",523910,2,9296,358,305,25.9664804469274,1.17377049180328
"1841",523910,3,7170,169,123,42.4260355029586,1.3739837398374
"1842",523910,4,693,32,26,21.65625,1.23076923076923
"1843",523910,6,183,18,16,10.1666666666667,1.125
"1844",523920,1,62804,19158,18923,3.27821275707276,1.01241874966971
"1845",523920,2,38242,1402,1101,27.2767475035663,1.27338782924614
"1846",523930,1,43444,20175,20119,2.15335811648079,1.00278343854068
"1847",523930,2,13423,477,408,28.1404612159329,1.16911764705882
"1848",523991,1,5345,1679,1665,3.18344252531269,1.00840840840841
"1849",523991,2,4850,189,153,25.6613756613757,1.23529411764706
"1850",523999,1,2457,1204,1201,2.0406976744186,1.00249791840133
"1851",523999,2,1056,30,27,35.2,1.11111111111111
"1852",524113,1,1392,537,536,2.59217877094972,1.00186567164179
"1853",524113,2,2956,82,78,36.0487804878049,1.05128205128205
"1854",524114,1,1806,525,524,3.44,1.00190839694656
"1855",524114,2,4330,113,91,38.3185840707965,1.24175824175824
"1856",524126,1,7792,1891,1880,4.12057112638815,1.00585106382979
"1857",524126,2,9720,347,237,28.0115273775216,1.46413502109705
"1858",524127,1,3191,838,817,3.80787589498807,1.02570379436964
"1859",524128,1,1228,357,356,3.43977591036415,1.00280898876405
"1860",524128,2,2009,52,52,38.6346153846154,1
"1861",524128,3,2502,21,19,119.142857142857,1.10526315789474
"1862",524130,1,317,98,98,3.23469387755102,1
"1863",524130,2,328,7,7,46.8571428571429,1
"1864",524130,3,747,4,4,186.75,1
"1865",524210,1,374001,119652,118490,3.12573964497041,1.00980673474555
"1866",524291,1,8238,3012,2954,2.73505976095618,1.01963439404198
"1867",524292,1,10399,1854,1827,5.60895361380798,1.01477832512315
"1868",524292,2,20369,608,507,33.5016447368421,1.19921104536489
"1869",524298,1,5881,2147,2132,2.73917093619003,1.00703564727955
"1870",524298,2,3721,132,103,28.1893939393939,1.28155339805825
"1871",525910,1,338,152,150,2.22368421052632,1.01333333333333
"1872",525910,3,379,6,6,63.1666666666667,1
"1873",525990,1,1918,977,977,1.96315250767656,1
"1874",525990,2,930,33,33,28.1818181818182,1
"1875",525990,7,307,13,9,23.6153846153846,1.44444444444444
"1876",531110,1,140163,49863,49288,2.81096203597858,1.01166612562896
"1877",531120,1,77466,28156,27968,2.75131410711749,1.00672196796339
"1878",531120,2,34683,1429,1148,24.2708187543737,1.24477351916376
"1879",531130,1,24022,10195,9842,2.35625306522805,1.03586669376143
"1880",531190,1,19581,7505,7352,2.60906062624917,1.02081066376496
"1881",531210,1,161354,98152,97346,1.64391963485207,1.00827974441682
"1882",531311,1,112150,31617,31456,3.54714236012272,1.00511826042726
"1883",531311,2,106110,3977,2794,26.6809152627609,1.42340730136006
"1884",531312,1,49687,13733,13652,3.6180732542052,1.00593319660123
"1885",531312,2,41100,1633,1191,25.1684017146356,1.37111670864819
"1886",531320,1,24253,12431,12371,1.95100957284209,1.00485005254224
"1887",531390,1,30163,14864,14824,2.02926533907427,1.00269832703724
"1888",531390,2,11377,534,362,21.3052434456929,1.47513812154696
"1889",531390,4,353,15,12,23.5333333333333,1.25
"1890",532111,1,6255,1857,1816,3.36833602584814,1.02257709251101
"1891",532111,5,125,5,4,25,1.25
"1892",532112,1,1324,373,370,3.54959785522788,1.00810810810811
"1893",532112,2,953,34,31,28.0294117647059,1.09677419354839
"1894",532120,1,4581,1415,1394,3.23745583038869,1.01506456241033
"1895",532210,1,2365,521,477,4.53934740882917,1.09224318658281
"1896",532220,1,2228,580,548,3.84137931034483,1.05839416058394
"1897",532230,1,3565,1055,1005,3.37914691943128,1.04975124378109
"1898",532291,1,2616,419,414,6.24343675417661,1.01207729468599
"1899",532291,5,76,4,3,19,1.33333333333333
"1900",532292,1,5494,2051,2027,2.67869332033155,1.01184015786877
"1901",532292,2,2562,115,94,22.2782608695652,1.22340425531915
"1902",532299,1,13675,3200,3154,4.2734375,1.0145846544071
"1903",532299,2,14707,637,443,23.0879120879121,1.43792325056433
"1904",532310,1,10731,2222,2137,4.82943294329433,1.03977538605522
"1905",532411,1,1447,529,524,2.73534971644612,1.00954198473282
"1906",532411,2,1102,50,40,22.04,1.25
"1907",532411,6,659,6,5,109.833333333333,1.2
"1908",532412,1,9400,2156,2123,4.35992578849722,1.01554404145078
"1909",532412,2,12711,502,341,25.3207171314741,1.47214076246334
"1910",532420,1,1392,379,376,3.67282321899736,1.00797872340426
"1911",532420,3,397,5,5,79.4,1
"1912",532490,1,15893,3849,3796,4.12912444790855,1.01396206533193
"1913",532490,2,23382,899,620,26.0088987764182,1.45
"1914",533110,1,6918,1958,1950,3.53319713993871,1.00410256410256
"1915",533110,2,7428,247,215,30.0728744939271,1.14883720930233
"1916",533110,3,7538,111,84,67.9099099099099,1.32142857142857
"1917",533110,4,1388,17,14,81.6470588235294,1.21428571428571
"1918",533110,6,3425,25,22,137,1.13636363636364
"1919",541110,1,486895,157751,157013,3.0864780571914,1.00470024775019
"1920",541110,2,225698,8565,5927,26.3511967308815,1.44508182891851
"1921",541191,1,24959,6493,6370,3.84398583089481,1.01930926216641
"1922",541199,1,8810,3669,3652,2.40119923684928,1.00465498357065
"1923",541199,2,4511,193,132,23.3730569948187,1.46212121212121
"1924",541199,7,93,4,4,23.25,1
"1925",541211,1,184459,50830,50568,3.62893960259689,1.00518114222433
"1926",541211,2,75121,2851,2030,26.3490003507541,1.40443349753695
"1927",541213,1,53516,16984,16846,3.15096561469618,1.00819185563338
"1928",541214,1,13639,2963,2959,4.60310496118799,1.00135180804326
"1929",541214,2,33906,862,818,39.3341067285383,1.05378973105134
"1930",541214,3,63923,408,349,156.674019607843,1.16905444126075
"1931",541219,1,100820,36515,36464,2.76105709982199,1.00139863975428
"1932",541219,2,43072,1498,1309,28.7530040053405,1.14438502673797
"1933",541310,1,71946,19162,19062,3.75461851581255,1.00524603924037
"1934",541310,2,49494,1672,1308,29.6016746411483,1.2782874617737
"1935",541320,1,15773,4733,4714,3.3325586308895,1.0040305473059
"1936",541320,2,5955,230,193,25.8913043478261,1.19170984455959
"1937",541330,1,148805,38824,38517,3.83280960230785,1.00797050652958
"1938",541330,2,186011,6494,4713,28.643517092701,1.37789093995332
"1939",541340,1,5838,2368,2367,2.46537162162162,1.00042247570765
"1940",541340,2,1679,50,47,33.58,1.06382978723404
"1941",541340,3,183,6,5,30.5,1.2
"1942",541350,1,12729,6029,6021,2.11129540553989,1.00132868294303
"1943",541350,2,3640,124,100,29.3548387096774,1.24
"1944",541360,1,2116,848,844,2.49528301886792,1.00473933649289
"1945",541360,2,1418,61,45,23.2459016393443,1.35555555555556
"1946",541370,1,27290,6976,6929,3.91198394495413,1.00678308558234
"1947",541370,2,12179,470,380,25.9127659574468,1.23684210526316
"1948",541380,1,20822,4128,4080,5.04408914728682,1.01176470588235
"1949",541380,2,29521,1047,781,28.1957975167144,1.34058898847631
"1950",541410,1,30128,12457,12438,2.41855984586979,1.00152757678083
"1951",541410,2,7701,255,234,30.2,1.08974358974359
"1952",541420,1,4247,1392,1391,3.05100574712644,1.00071890726096
"1953",541420,2,2558,69,68,37.0724637681159,1.01470588235294
"1954",541420,5,50,4,4,12.5,1
"1955",541420,6,207,4,4,51.75,1
"1956",541420,7,1585,12,10,132.083333333333,1.2
"1957",541430,1,36906,14979,14954,2.4638493891448,1.00167179350007
"1958",541430,2,12224,417,373,29.3141486810552,1.11796246648794
"1959",541430,3,2977,38,32,78.3421052631579,1.1875
"1960",541490,1,5506,2326,2326,2.36715391229579,1
"1961",541490,2,1849,61,59,30.3114754098361,1.03389830508475
"1962",541490,3,687,9,9,76.3333333333333,1
"1963",541511,1,162132,57203,57041,2.83432687096831,1.00284006241125
"1964",541511,2,171116,4714,4338,36.2995333050488,1.08667588750576
"1965",541512,1,104260,39807,39687,2.61913733765418,1.0030236601406
"1966",541512,2,94838,2730,2410,34.7391941391941,1.13278008298755
"1967",541513,1,14989,4147,4127,3.61442006269592,1.00484613520717
"1968",541513,2,16959,492,434,34.469512195122,1.13364055299539
"1969",541513,6,1411,31,21,45.5161290322581,1.47619047619048
"1970",541519,1,21009,9776,9756,2.14903846153846,1.0020500205002
"1971",541519,2,20163,546,499,36.9285714285714,1.09418837675351
"1972",541519,3,19942,186,128,107.215053763441,1.453125
"1973",541611,1,132983,66626,66475,1.99596253714766,1.00227153065062
"1974",541611,2,89107,2853,2456,31.2327374693305,1.16164495114007
"1975",541612,1,15750,5930,5901,2.65598650927487,1.00491442128453
"1976",541612,2,15966,527,400,30.2960151802657,1.3175
"1977",541612,3,17889,153,108,116.921568627451,1.41666666666667
"1978",541613,1,71916,34692,34639,2.07298512625389,1.00153006726522
"1979",541613,2,46994,1417,1305,33.1644318983769,1.08582375478927
"1980",541614,1,16158,6052,6050,2.66986120290813,1.0003305785124
"1981",541614,2,14195,424,376,33.4787735849057,1.12765957446809
"1982",541614,4,4327,36,30,120.194444444444,1.2
"1983",541618,1,16689,9737,9731,1.71397761117387,1.00061658616792
"1984",541618,2,6996,195,183,35.8769230769231,1.0655737704918
"1985",541618,3,2932,27,23,108.592592592593,1.17391304347826
"1986",541620,1,25324,7586,7490,3.33825467967308,1.0128170894526
"1987",541690,1,50631,22250,22194,2.27555056179775,1.00252320446968
"1988",541690,2,31219,937,813,33.3180362860192,1.15252152521525
"1989",541711,1,11601,3008,2985,3.85671542553191,1.00770519262982
"1990",541711,2,16725,435,392,38.448275862069,1.10969387755102
"1991",541711,3,21174,172,130,123.104651162791,1.32307692307692
"1992",541711,5,2943,23,17,127.95652173913,1.35294117647059
"1993",541712,1,31036,7609,7545,4.07885398869759,1.00848243870113
"1994",541712,2,46923,1420,1194,33.0443661971831,1.1892797319933
"1995",541720,1,5171,1504,1492,3.43816489361702,1.00804289544236
"1996",541720,2,6241,230,175,27.1347826086957,1.31428571428571
"1997",541720,7,234,10,10,23.4,1
"1998",541810,1,38223,10863,10814,3.51864125932063,1.00453116330682
"1999",541810,2,39202,1116,1006,35.1272401433692,1.10934393638171
"2000",541820,1,22564,7607,7540,2.96621532798738,1.00888594164456
"2001",541820,2,11929,430,346,27.7418604651163,1.24277456647399
"2002",541830,1,2374,663,659,3.58069381598793,1.00606980273141
"2003",541830,2,2798,76,67,36.8157894736842,1.13432835820896
"2004",541840,1,3592,1217,1210,2.95152013147083,1.00578512396694
"2005",541840,2,2546,87,72,29.264367816092,1.20833333333333
"2006",541850,1,6224,1847,1840,3.36978884677856,1.00380434782609
"2007",541850,2,4462,169,120,26.4023668639053,1.40833333333333
"2008",541860,1,8292,1910,1904,4.3413612565445,1.0031512605042
"2009",541860,2,11587,311,296,37.2572347266881,1.05067567567568
"2010",541860,3,11161,113,76,98.7699115044248,1.48684210526316
"2011",541860,4,2548,11,8,231.636363636364,1.375
"2012",541870,1,2298,719,712,3.19610570236439,1.00983146067416
"2013",541870,2,3084,86,75,35.8604651162791,1.14666666666667
"2014",541870,4,1328,3,3,442.666666666667,1
"2015",541890,1,20278,6089,6056,3.33026769584497,1.00544914134742
"2016",541890,2,15436,476,399,32.4285714285714,1.19298245614035
"2017",541890,6,4365,9,8,485,1.125
"2018",541910,1,12125,3594,3559,3.37367835281024,1.00983422309638
"2019",541910,2,16564,549,423,30.1712204007286,1.29787234042553
"2020",541921,1,16829,8277,8243,2.0332245982844,1.00412471187674
"2021",541921,2,5835,205,155,28.4634146341463,1.32258064516129
"2022",541922,1,7188,3732,3727,1.92604501607717,1.00134156157768
"2023",541922,2,2592,76,68,34.1052631578947,1.11764705882353
"2024",541930,1,5701,2327,2322,2.44993553932101,1.0021533161068
"2025",541930,2,3961,116,101,34.1465517241379,1.14851485148515
"2026",541930,3,4066,32,24,127.0625,1.33333333333333
"2027",541940,1,177802,24823,24624,7.16279257140555,1.00808154645874
"2028",541940,2,112842,4101,3690,27.5157278712509,1.11138211382114
"2029",541990,1,34346,16847,16795,2.03870125244851,1.0030961595713
"2030",541990,2,20152,779,558,25.8690629011553,1.39605734767025
"2031",551111,1,304,126,125,2.41269841269841,1.008
"2032",551111,2,1655,257,255,6.43968871595331,1.0078431372549
"2033",551111,3,3986,257,252,15.5097276264591,1.01984126984127
"2034",551111,4,815,45,41,18.1111111111111,1.09756097560976
"2035",551111,5,960,29,25,33.1034482758621,1.16
"2036",551111,6,1726,11,10,156.909090909091,1.1
"2037",551111,7,479,17,13,28.1764705882353,1.30769230769231
"2038",551112,1,7871,3233,3216,2.43458088462728,1.00528606965174
"2039",551112,2,14636,844,824,17.3412322274882,1.02427184466019
"2040",551112,3,33352,1213,1127,27.4954657873042,1.07630878438332
"2041",551112,4,10450,378,347,27.6455026455026,1.08933717579251
"2042",551112,5,16232,387,319,41.9431524547804,1.21316614420063
"2043",551112,6,13877,304,207,45.6480263157895,1.46859903381643
"2044",551114,1,4509,1280,1263,3.52265625,1.01346001583531
"2045",551114,2,54464,4679,4556,11.6400940371874,1.02699736611062
"2046",551114,3,280535,8641,7896,32.4655711144543,1.0943515704154
"2047",551114,4,204949,3274,2595,62.5989615149664,1.2616570327553
"2048",561110,1,86594,24123,24079,3.58968619160138,1.00182731841023
"2049",561110,2,107876,3229,3040,33.4084855992567,1.06217105263158
"2050",561110,3,108122,1460,1148,74.0561643835617,1.27177700348432
"2051",561210,1,4827,1024,1015,4.7138671875,1.00886699507389
"2052",561210,2,15425,461,377,33.4598698481562,1.22281167108753
"2053",561311,1,16399,4599,4580,3.56577516851489,1.00414847161572
"2054",561311,2,33447,812,761,41.1908866995074,1.06701708278581
"2055",561311,3,54173,344,289,157.479651162791,1.19031141868512
"2056",561312,1,14133,5263,5242,2.68535056051682,1.00400610454025
"2057",561312,2,8551,308,239,27.762987012987,1.28870292887029
"2058",561320,1,33254,6849,6770,4.85530734413783,1.01166912850812
"2059",561320,2,168509,3705,3451,45.4815114709852,1.07360185453492
"2060",561320,3,492190,3361,2243,146.441535257364,1.49843958983504
"2061",561330,1,7378,1437,1431,5.13430758524704,1.0041928721174
"2062",561330,2,35848,810,782,44.2567901234568,1.03580562659847
"2063",561330,3,105244,519,473,202.782273603083,1.09725158562368
"2064",561330,4,92973,188,148,494.537234042553,1.27027027027027
"2065",561410,1,8948,3493,3485,2.56169481820784,1.00229555236729
"2066",561410,2,5776,182,157,31.7362637362637,1.15923566878981
"2067",561410,3,4618,59,41,78.271186440678,1.4390243902439
"2068",561421,1,5567,808,807,6.88985148514851,1.00123915737299
"2069",561421,2,8132,257,224,31.6420233463035,1.14732142857143
"2070",561421,3,4838,45,37,107.511111111111,1.21621621621622
"2071",561422,1,7476,1542,1537,4.84824902723735,1.00325309043591
"2072",561422,2,24094,604,568,39.8907284768212,1.06338028169014
"2073",561422,3,47887,415,296,115.390361445783,1.40202702702703
"2074",561431,1,17348,4471,4369,3.88011630507716,1.02334630350195
"2075",561431,3,309,3,3,103,1
"2076",561439,1,8567,1994,1964,4.29638916750251,1.0152749490835
"2077",561440,1,13670,2599,2571,5.25971527510581,1.01089070400622
"2078",561440,2,22639,639,567,35.4287949921753,1.12698412698413
"2079",561450,1,1195,267,262,4.47565543071161,1.01908396946565
"2080",561450,2,1663,60,48,27.7166666666667,1.25
"2081",561450,3,162,4,4,40.5,1
"2082",561491,1,2704,650,644,4.16,1.00931677018634
"2083",561491,3,488,6,5,81.3333333333333,1.2
"2084",561492,1,6121,3015,2988,2.0301824212272,1.00903614457831
"2085",561492,7,34,4,3,8.5,1.33333333333333
"2086",561499,1,10499,3581,3572,2.93186260821,1.0025195968645
"2087",561499,2,8406,258,229,32.5813953488372,1.12663755458515
"2088",561499,6,1887,16,13,117.9375,1.23076923076923
"2089",561510,1,23670,9016,8915,2.62533274179237,1.01132922041503
"2090",561520,1,8722,2315,2304,3.76760259179266,1.00477430555556
"2091",561520,2,6593,226,193,29.1725663716814,1.17098445595855
"2092",561591,1,3672,801,798,4.58426966292135,1.00375939849624
"2093",561591,2,4404,156,106,28.2307692307692,1.47169811320755
"2094",561599,1,4778,1380,1375,3.46231884057971,1.00363636363636
"2095",561599,2,5630,197,147,28.5786802030457,1.34013605442177
"2096",561611,1,11109,3733,3722,2.97589070452719,1.00295540032241
"2097",561611,2,8856,243,225,36.4444444444444,1.08
"2098",561612,1,22326,4056,4054,5.50443786982249,1.0004933399112
"2099",561612,2,71353,1616,1560,44.1540841584158,1.03589743589744
"2100",561612,3,111873,704,555,158.910511363636,1.26846846846847
"2101",561613,1,258,47,47,5.48936170212766,1
"2102",561613,2,1014,29,24,34.9655172413793,1.20833333333333
"2103",561621,1,22344,4914,4905,4.54700854700855,1.00183486238532
"2104",561621,2,23355,715,610,32.6643356643357,1.17213114754098
"2105",561622,1,12364,3703,3681,3.33891439373481,1.00597663678348
"2106",561710,1,44258,11232,11193,3.940349002849,1.00348432055749
"2107",561710,2,25349,923,703,27.4637053087757,1.31294452347084
"2108",561720,1,191269,47787,47750,4.00253206939126,1.00077486910995
"2109",561720,2,210673,5763,5466,36.556133958008,1.0543358946213
"2110",561720,3,187071,1433,996,130.545010467551,1.43875502008032
