ORIG_CFS_AREA,DEST_CFS_AREA,orig_FAFID,dest_FAFID,Distance
04-38060,30-99999,41,300,1036.340426
04-38060,31-420,41,311,1181.677419
04-38060,31-99999,41,319,958.4736842
04-38060,32-332,41,321,282.6500921
04-38060,32-99999,41,329,649.8814815
04-38060,33-148,41,331,2278.885714
04-38060,33-99999,41,339,2251.6875
04-38060,34-408,41,341,2182.347032
04-38060,34-428,41,342,2128.590361
04-38060,35-99999,41,350,404.6788124
04-38060,36-104,41,361,2150.235294
04-38060,36-160,41,362,1961.3
04-38060,36-408,41,363,2167.861017
04-38060,36-464,41,364,2019.202247
04-38060,36-99999,41,369,2046.089286
04-38060,37-172,41,371,1851.675
04-38060,37-268,41,372,1916.612245
04-38060,37-450,41,373,1962.515152
04-38060,37-99999,41,379,1915.894737
04-38060,38-99999,41,380,1275.296296
04-38060,39-178,41,391,1628.397059
04-38060,39-184,41,392,1827.587156
04-38060,39-198,41,393,1732.725806
04-38060,39-212,41,394,1660.357143
04-38060,39-99999,41,399,1764.791667
04-38060,40-416,41,401,865.9294118
04-38060,40-538,41,402,994.3877551
04-38060,40-99999,41,409,920.3030303
04-38060,41-440,41,411,1170.796774
04-38060,41-99999,41,419,959.8214286
04-38060,42-408,41,423,2097.69697
04-38060,42-428,41,421,2116.496124
04-38060,42-430,41,422,1891.619048
04-38060,42-99999,41,429,2041.861702
04-38060,44-148,41,441,2265.925926
04-38060,45-16700,41,451,1908.033333
04-38060,45-273,41,452,1791.979592
04-38060,45-99999,41,459,1815.194444
04-38060,46-99999,41,460,1098.764706
04-38060,47-314,41,473,1621.5
04-38060,47-368,41,471,1293.147059
04-38060,47-400,41,472,1484.786885
04-38060,47-99999,41,479,1544.013514
04-38060,48-12420,41,481,934.5695067
04-38060,48-13140,41,482,1177.307692
04-38060,48-204,41,483,1002.909091
04-38060,48-206,41,484,949.2207447
04-38060,48-238,41,485,400.2959427
04-38060,48-288,41,486,1058.913043
04-38060,48-29700,41,487,1000.916667
04-38060,48-41700,41,488,872.5343511
04-38060,48-99999,41,489,878.7525084
04-38060,49-482,41,491,573.75
04-38060,49-99999,41,499,532.1
04-38060,50-99999,41,500,2201.882353
04-38060,51-40060,41,511,2010.121951
04-38060,51-47900,41,513,1990.324074
04-38060,51-545,41,512,2107.666667
04-38060,51-99999,41,519,1917.047619
04-38060,53-440,41,532,1218.194444
04-38060,53-500,41,531,1273.406181
04-38060,53-99999,41,539,1195.89726
04-38060,54-99999,41,540,1869.767442
04-38060,55-376,41,551,1522.526316
04-38060,55-99999,41,559,1500.490909
04-38060,56-99999,41,560,817.2631579
04-536,01-142,42,11,1463.192308
04-536,01-380,42,12,1355.2
04-536,01-99999,42,19,1421.866667
04-536,04-38060,42,41,102.2995951
04-536,04-536,42,42,10.97308642
04-536,04-99999,42,49,141.9
04-536,05-99999,42,50,1112.8
04-536,06-260,42,65,638.3
04-536,06-348,42,61,459.0385965
04-536,06-41740,42,63,405.4043716
04-536,06-472,42,62,802.5375
04-536,06-488,42,64,776.0595238
04-536,06-99999,42,69,660.1614907
04-536,08-216,42,81,719
04-536,08-99999,42,89,647.7058824
04-536,09-25540,42,91,2200.421053
04-536,09-408,42,92,2176.139535
04-536,09-99999,42,99,2228.25
04-536,10-428,42,101,2031
04-536,10-99999,42,109,2052
04-536,11-47900,42,111,1953.888889
04-536,12-300,42,121,1791.058824
04-536,12-370,42,122,2002.40708
04-536,12-422,42,123,1841
04-536,12-45300,42,124,1739.72973
04-536,12-99999,42,129,1753.828571
04-536,13-122,42,131,1598.43299
04-536,13-496,42,132,1885.904762
04-536,13-99999,42,139,1705.487179
04-536,16-99999,42,160,943.2162162
04-536,17-176,42,171,1517.992424
04-536,17-476,42,172,1355.9
04-536,17-99999,42,179,1375.666667
04-536,18-176,42,181,1459
04-536,18-258,42,183,1576.9
04-536,18-294,42,182,1581.017544
04-536,18-99999,42,189,1566.955882
04-536,19-99999,42,190,1309.909091
04-536,20-312,42,201,1102
04-536,20-556,42,202,882.5789474
04-536,20-99999,42,209,938.2857143
04-536,21-178,42,211,1747.3
04-536,21-350,42,212,1515.666667
04-536,21-99999,42,219,1546.96
04-536,22-12940,42,221,1196.1
04-536,22-324,42,222,1054
04-536,22-406,42,223,1332.958333
04-536,22-99999,42,229,1154.25
04-536,23-99999,42,230,2338.526316
04-536,24-12580,42,241,2033.15
04-536,24-47900,42,242,2018.194444
04-536,24-99999,42,249,1947.833333
04-536,25-148,42,251,2270.636364
04-536,25-99999,42,259,2209.916667
04-536,26-220,42,261,1742.90566
04-536,26-266,42,262,1639.176471
04-536,26-99999,42,269,1695.54
04-536,27-378,42,271,1433.282051
04-536,27-99999,42,279,1368.392857
04-536,28-99999,42,280,1289.342857
04-536,29-312,42,291,1132.695652
04-536,29-476,42,292,1313.577778
04-536,29-99999,42,299,1160.269231
04-536,30-99999,42,300,1033.972222
04-536,31-420,42,311,1158.75
04-536,31-99999,42,319,1053.166667
04-536,32-332,42,321,376.8085106
04-536,32-99999,42,329,746.6333333
04-536,33-148,42,331,2273.541667
04-536,33-99999,42,339,2264.333333
04-536,34-408,42,341,2199.018349
04-536,34-428,42,342,2095.77551
04-536,35-99999,42,350,328.1235955
04-536,36-104,42,361,2146
04-536,36-160,42,362,1992.5
04-536,36-408,42,363,2176.023622
04-536,36-464,42,364,2026.952381
04-536,36-99999,42,369,2161.38835
04-536,37-172,42,371,1804.818182
04-536,37-268,42,372,1809
04-536,37-450,42,373,1872.074074
04-536,37-99999,42,379,1903.546875
04-536,38-99999,42,380,1285.333333
04-536,39-178,42,391,1618.809524
04-536,39-184,42,392,1796.356164
04-536,39-198,42,393,1707.193548
04-536,39-212,42,394,1654.166667
04-536,39-99999,42,399,1758.810127
04-536,40-416,42,401,818.4736842
04-536,40-538,42,402,932.0689655
04-536,40-99999,42,409,853.3333333
04-536,41-440,42,411,1260.125
04-536,41-99999,42,419,1062.677419
04-536,42-408,42,423,2116.428571
04-536,42-428,42,421,2116.268657
04-536,42-430,42,422,1902.404762
04-536,42-99999,42,429,2003.106667
04-536,44-148,42,441,2257.363636
04-536,45-16700,42,451,1934.4
04-536,45-273,42,452,1748.384615
04-536,45-99999,42,459,1830.033333
04-536,46-99999,42,460,1026.363636
04-536,47-314,42,473,1580.846154
04-536,47-368,42,471,1289.705882
04-536,47-400,42,472,1499.12
04-536,47-99999,42,479,1471.814815
04-536,48-12420,42,481,824.1481481
