orig_FAFID,dest_FAFID,Distance,Travel_time,Alternative
41,481,1069.45,44.14342105,Private Truck
41,482,1337.09,57.7840625,Private Truck
41,483,1222.39,48.16815789,Private Truck
41,484,1135.52,45.88210526,Private Truck
41,485,543.49,24.36138462,Private Truck
41,486,1216.4,48.01052632,Private Truck
41,487,1082.46,44.48578947,Private Truck
41,488,1042.91,43.445,Private Truck
41,489,952.12,41.05578947,Private Truck
41,491,1374.4,58.95,Private Truck
41,499,1225.43,48.24815789,Private Truck
41,500,3309.3,119.415625,Private Truck
41,511,3201.07,116.0334375,Private Truck
41,512,3229.64,116.92625,Private Truck
41,513,3002.82,109.838125,Private Truck
41,519,4414.68,153.95875,Private Truck
41,531,1989.23,78.1634375,Private Truck
41,532,1838.95,73.4671875,Private Truck
41,539,2317.96,88.43625,Private Truck
41,540,2710.52,100.70375,Private Truck
41,551,2182.37,84.1990625,Private Truck
41,560,2314.65,88.3328125,Private Truck
42,11,1694.6,68.95625,Private Truck
42,12,1753.83,70.8071875,Private Truck
42,19,1705.36,69.2925,Private Truck
42,41,116.78,9.839,Private Truck
42,42,0,4,Private Truck
42,49,285.72,20.39569231,Private Truck
42,50,1404.29,59.8840625,Private Truck
42,61,679.8,33.88947368,Private Truck
42,62,1154.38,46.37842105,Private Truck
42,63,508.65,23.82538462,Private Truck
42,64,1081.19,44.45236842,Private Truck
42,65,883.4,39.24736842,Private Truck
42,69,1100.57,44.96236842,Private Truck
42,81,2440.61,92.2690625,Private Truck
42,89,2543.62,95.488125,Private Truck
42,91,3013.96,110.18625,Private Truck
42,92,2934.89,107.7153125,Private Truck
42,99,3026.4,110.575,Private Truck
42,101,2827.76,104.3675,Private Truck
42,109,2901.42,106.669375,Private Truck
42,111,2798.77,103.4615625,Private Truck
42,122,2585.44,96.795,Private Truck
42,123,2327.01,88.7190625,Private Truck
42,124,2338.12,89.06625,Private Truck
42,129,2332.84,88.90125,Private Truck
42,131,1873.91,74.5596875,Private Truck
42,132,2141.81,82.9315625,Private Truck
42,139,1981.71,77.9284375,Private Truck
42,160,1754.16,70.8175,Private Truck
42,171,1997.49,78.4215625,Private Truck
42,172,1670.04,68.18875,Private Truck
42,179,1794.28,72.07125,Private Truck
42,181,2037.56,79.67375,Private Truck
42,182,2012.54,78.891875,Private Truck
42,183,2129.8,82.55625,Private Truck
42,189,1984.8,78.025,Private Truck
42,190,1685.47,68.6709375,Private Truck
42,201,1465.49,61.7965625,Private Truck
42,202,1311.57,56.9865625,Private Truck
42,209,1213.37,47.93078947,Private Truck
42,211,2366.43,89.9509375,Private Truck
42,212,2085.29,81.1653125,Private Truck
42,221,1780.99,71.6559375,Private Truck
42,222,1348.38,58.136875,Private Truck
42,223,1870.06,74.439375,Private Truck
42,229,1849.52,73.7975,Private Truck
42,230,3522.85,126.0890625,Private Truck
42,241,2802.15,103.5671875,Private Truck
42,242,2819.99,104.1246875,Private Truck
42,249,2850.6,105.08125,Private Truck
42,251,3155.17,114.5990625,Private Truck
42,259,3054.03,111.4384375,Private Truck
42,261,2340.44,89.13875,Private Truck
42,262,2201.13,84.7853125,Private Truck
42,269,2456.49,92.7653125,Private Truck
42,271,1943.33,76.7290625,Private Truck
42,279,2116.98,82.155625,Private Truck
42,280,1566.41,64.9503125,Private Truck
42,291,1476.96,62.155,Private Truck
42,292,1589.64,65.67625,Private Truck
42,299,1521.8,63.55625,Private Truck
42,300,2105.92,81.81,Private Truck
42,311,1670.91,68.2159375,Private Truck
42,319,2124.64,82.395,Private Truck
42,321,1035.08,43.23894737,Private Truck
42,329,1167.97,46.73605263,Private Truck
42,331,3147.33,114.3540625,Private Truck
42,339,3241.46,117.295625,Private Truck
42,341,2869.51,105.6721875,Private Truck
42,342,2855.09,105.2215625,Private Truck
