Commodity_SCTG,FAF,value_fraction
02,209,0.05045484225743378
02,211,3.055323823157857e-05
02,212,0.0007747881959113278
02,219,0.003562246116705874
02,221,0.01462771074240587
02,222,0.00016095165558290485
02,223,0.048106971882270956
02,229,0.0025609487626472634
02,230,0.00014325361317409454
02,241,0.0007492488075512224
02,242,9.815905313850967e-05
02,249,0.006073842772945086
02,251,0.000683541815674603
02,261,0.0004891424511344968
02,262,0.001530779272686734
02,269,0.006454766548165764
02,271,0.01703621132398374
02,279,0.0451580733611094
02,280,0.003819662455391533
02,291,0.0061501592810788595
02,292,0.007823902387095844
02,299,0.013479803082038217
02,300,0.0032432286394791037
02,311,0.007215189139449593
02,319,0.054913217423258436
02,321,0.0002343134633801983
02,329,0.0004754320718351598
02,331,2.0981559050181837e-05
02,339,3.4367498518013774e-05
02,341,0.0007491811104996781
02,342,6.104853133600573e-05
02,350,0.0018794082531589525
02,361,0.005336694758319566
02,362,0.0013942347312612502
02,363,0.0010368299348416782
02,364,0.0056607659593385
02,369,0.002014669992265539
02,371,0.002703711566942798
02,372,4.8888894977693745e-05
02,373,0.0019113793924337515
02,379,0.019203840557896375
02,380,0.03588712641924655
02,391,0.001286845191284599
02,392,0.0043180318643070165
02,393,0.002948664674107886
02,394,0.003602681477200789
02,399,0.013035998345189792
02,401,0.0004909936783573047
02,402,0.007307455292193339
02,409,0.0055296339151695295
02,411,0.00916209834584135
02,419,0.004125534157105821
02,423,0.0009091061688879175
02,421,0.00035366193482268623
02,422,0.00041222193435908175
02,429,0.009030186225161092
02,441,9.903757264379521e-05
02,451,4.903467822677985e-06
02,452,7.393743131402609e-06
02,459,0.006622401767826183
02,460,0.021246195874099524
02,473,8.615029448326318e-05
02,471,0.0021138049845873855
02,472,0.0006309763954179315
02,479,0.003500724075509088
02,481,0.0005882703012641842
02,482,7.17445150248713e-06
02,483,0.008840403295511704
02,484,0.005926659580074608
02,485,0.0004689857223504965
02,486,0.007928218511023412
02,487,8.452987976749042e-07
02,488,0.0005004634673528262
02,489,0.05225974642775368
02,491,0.0028366939322851063
02,499,0.00035053875906773305
02,500,0.00031600087125385583
02,511,0.001812180935716371
02,513,6.100450330571874e-05
02,512,0.0006835073172049193
02,519,0.0021380938886055973
02,532,0.023627684792243003
02,531,0.006793747308742694
02,539,0.019205235968114534
02,540,0.0001350681221981823
02,551,0.004510511833294292
02,559,0.013884285229851915
02,560,9.181087781997854e-06
03,11,0.00197595020916769
03,12,0.001105639145584647
03,19,0.0062168023637880826
03,20,0.000417999928102957
03,41,0.008120181635736969
03,42,0.0023021170819628976
03,49,0.001564213671330245
03,50,0.007585662439007399
03,65,0.0038969333532828184
03,61,0.07530064327218229
03,63,0.007559820956455364
03,62,0.0059941115602284495
03,64,0.021584866496817286
03,69,0.016408628336420653
03,81,0.008415595399473282
03,89,0.0029277051916865924
03,91,0.0034906594451875332
03,92,0.004796329761366652
03,99,0.0005244438865745756
03,101,0.01702979105600742
03,109,0.0005473518403264112
03,111,0.0007257949692907284
03,121,0.0031599232515886182
03,122,0.009994791722628443
03,123,0.007594700383319166
03,124,0.00621335295977351
03,129,0.009375040809172272
03,131,0.020140741175621552
03,132,0.0005600417745244824
03,139,0.0076121690125081146
03,151,0.002501548724595696
03,159,0.001490999758028938
03,160,0.005281365826052904
03,171,0.02251195017564409
03,172,0.009414791388028325
03,179,0.026561493527845023
03,181,0.0011990805479808401
03,183,0.0021922684043429994
03,182,0.00606975214950505
03,189,0.012358676167051719
03,190,0.029631136645477292
03,201,0.0026808461477014194
03,202,0.004724688330502697
03,209,0.006183706637300741
03,211,0.0004922852774810375
03,212,0.0015883712560110458
03,219,0.00522897807806441
03,221,0.0025588278449052786
03,222,4.5143911674961216e-05
03,223,0.05071826431114828
03,229,0.0011307892371210041
03,230,0.0020008690326881163
03,241,0.0064447081500562005
03,242,0.005006252801373708
03,249,0.0031724059087947978
03,251,0.014610645210784744
03,259,0.004600575777497155
03,261,0.006052913601743131
03,262,0.00331059332891247
03,269,0.006841979233638245
03,271,0.011292407041603959
03,279,0.02619543411406591
03,280,0.0035144119311591145
03,291,0.007169009732029776
03,292,0.010760219369319963
03,299,0.005281442047203003
03,300,0.0018909685583109236
03,311,0.005359437360180612
03,319,0.008545894590524029
03,321,0.0020622793911825796
03,329,0.000976649003416195
03,331,0.0011976980256805428
03,339,0.0008493032253434867
03,341,0.031251442078281094
03,342,0.005270468179317312
03,350,0.0035538341079041484
03,361,0.0026061266876066416
03,362,0.002070657992485862
03,363,0.05978970782152745
03,364,0.006251349361983968
03,369,0.004324921146816767
03,371,0.004792566227873784
03,372,0.004719074166793534
03,373,0.0018368438257446843
03,379,0.016353043147243115
03,380,0.009527326568931339
03,391,0.0025766411478481393
03,392,0.008156774674285374
03,393,0.005473461891686802
03,394,0.00480843425257162
03,399,0.01152218110529016
03,401,0.0015608929314068522
03,402,0.0029680399351946236
03,409,0.002306572298124754
03,411,0.015208276314467493
03,419,0.0028256051713053693
03,423,0.003751380099190908
03,421,0.006823643448542009
03,422,0.00457175062354073
03,429,0.013721418855200382
03,441,0.0019018402638630277
03,451,0.0007663414095716613
03,452,0.0027139576152451156
03,459,0.003185157897917754
03,460,0.010051157855381692
03,473,0.0004424415323225462
03,471,0.004250080119528025
03,472,0.0038583306672011716
03,479,0.004727944966189304
03,481,0.0027531424132811477
03,482,0.000104065957644226
03,483,0.0004445182639865121
03,484,0.01353752794421085
03,485,0.0012637552818572189
03,486,0.009801988391429452
03,487,0.0010228768226117197
03,488,0.004079964540445933
03,489,0.01755934535863085
03,491,0.006701616443062598
03,499,0.0004844743399270248
03,500,0.0010976845051726622
03,511,0.0029297380002652994
03,513,0.003083476381173601
03,512,0.006341204144496335
03,519,0.004741532928982546
03,532,0.00777866397402341
03,531,0.02065791996566219
03,539,0.010823172613486668
03,540,0.00100399237040869
03,551,0.0070764738231992195
03,559,0.010543473988622145
03,560,0.0008066402879449293
04,11,0.004478347973130131
04,12,0.0006011411179552493
04,19,0.005097955891155546
04,20,0.0003471133781081258
04,41,0.01119656420859795
04,42,0.0024228648898577763
04,49,0.004203528140963237
04,50,0.018867074704166445
04,65,0.003924205481748913
04,61,0.0436372131506388
04,63,0.005741161738320087
04,62,0.003431357796033018
04,64,0.02268982647329501
04,69,0.03884874195925791
04,81,0.0056336082228488
04,89,0.003523618526925256
04,91,0.0027197563781860444
04,92,0.001864540680327951
04,99,0.0005033166186048282
04,101,0.001331585827286867
04,109,0.004210223048121082
04,111,0.000146695461131688
04,121,0.002447944084092571
04,122,0.008439066082721141
04,123,0.0016783949978012315
04,124,0.004061600563982239
04,129,0.007001083206376731
04,131,0.016004585343747917
04,132,0.000724946361792964
04,139,0.010232385310534319
04,151,0.0006058208924382669
04,159,0.0006635595865748464
04,160,0.00633869862018215
04,171,0.03115414803715018
04,172,0.011204409650060252
04,179,0.02375050653103273
04,181,0.0011553716506453816
04,183,0.0033583640322740116
04,182,0.010214370465971252
04,189,0.021835980856605184
04,190,0.0678720461988241
04,201,0.00429037238074803
04,202,0.0018323591265683114
04,209,0.014197923917467171
04,211,0.00036393142936044104
04,212,0.0015195650355292285
04,219,0.011098755155146979
04,221,0.0007249269018037542
04,222,0.0001287252508621466
04,223,0.006196894933908536
04,229,0.0030030472043839954
04,230,0.002825509323221187
04,241,0.0025900282177280416
04,242,0.0007387001658194147
04,249,0.0057087588365229
04,251,0.004902126549337644
04,259,0.0016164979117493316
04,261,0.0031353409238123924
04,262,0.00424009576262992
04,269,0.013191017451898273
04,271,0.012854456572079195
04,279,0.02597469077970595
04,280,0.01223859673445737
04,291,0.007508533194412592
04,292,0.0018807891735764923
04,299,0.02506722023445003
04,300,0.005093883341145901
04,311,0.007626433397444794
04,319,0.027525937071923967
04,321,0.0014213027182163561
04,329,0.002811975088314882
04,331,0.0017024383072889414
04,339,0.0005105582567110525
04,341,0.010584341673630506
04,342,0.0019198943636874668
04,350,0.005315657203669205
04,361,0.0030012315004320196
04,362,0.0012952689359999078
04,363,0.015162927298439382
04,364,0.002145919320548345
04,369,0.006997231312868377
04,371,0.0051809951180260385
04,372,0.00431116414955601
04,373,0.0031774784113793478
04,379,0.02760331465649462
04,380,0.002510075635909408
04,391,0.00488573678318075
04,392,0.0037782305036267675
04,393,0.010877736181549112
04,394,0.0027400586204016386
04,399,0.012898068888685428
04,401,0.0026471464432796486
04,402,0.0010691158231631978
04,409,0.005579346460929421
04,411,0.004276707904923825
04,419,0.0028378405314520073
04,423,0.011252718414327088
04,421,0.008659488650811129
04,422,0.0016866185506215624
04,429,0.0299711054503062
04,441,0.001381474805949135
04,451,0.0001865272189763861
04,452,0.0017384650307578691
04,459,0.004624878208763203
04,460,0.007789829443254766
04,473,0.00012130913577399606
04,471,0.0012513149750475337
04,472,0.007142959613649152
04,479,0.005725621620632529
04,481,0.0016817056815230803
04,482,0.0017594724150062982
04,483,4.5353096181811875e-05
04,484,0.018096086192312642
04,485,0.00038035997718850214
04,486,0.005543914698690931
04,487,0.0003377641052118767
04,488,0.0023116591258054236
04,489,0.034820207444572975
04,491,0.0053135391982199525
04,499,0.0006934083198781284
04,500,0.0035458368261317005
04,511,0.00234360419165273
04,513,0.0020743864772063128
04,512,0.0018563743056329294
04,519,0.012365456979601725
04,532,0.0003580800366658566
04,531,0.009563750305687173
04,539,0.004291114740149331
04,540,0.0013315924072145966
04,551,0.008973250349712516
04,559,0.030185836349910074
04,560,0.0011143324474469857
05,11,0.002478663976072923
05,12,0.0011095207708095459
05,19,0.012095252121837662
05,20,0.002873040570277463
05,41,0.013848363750050207
05,42,0.0008374144821278245
05,49,0.0005343109259670937
05,50,0.02384675392879146
05,65,0.0025689744223886886
05,61,0.06056521758232024
05,63,0.007020779785957488
05,62,0.0047897088131174164
05,64,0.0289982611644301
05,69,0.011166876510197302
05,81,0.01011508108827321
05,89,0.002190162128054496
05,91,0.006275108433601075
05,92,0.002493245678645195
05,99,0.0005707126998563232
05,101,0.0008653078185674664
05,109,0.0019224575023523074
05,111,0.0014644416459498057
05,121,0.006530715350692858
05,122,0.02128942450517429
05,123,0.009759529884511947
05,124,0.004472418091046854
05,129,0.017149940623248483
05,131,0.033047238279928864
05,132,0.0029658925134885285
05,139,0.006077350137202334
